Subject,Age,Gender,Ethnicity,Exercise,L_category,Active,L_history,L_duration,L_intensity,LI_1,LI_2r,LI_3,LI_4r,LI_5,LI_6r,LI_7,LI_8r,LI_9,LI_10r,LF_1,LF_2r,LF_3,LF_4r,LF_5,LF_6r,LF_7,LF_8r,LF_9,LF_10r,LM_1,LM_2r,LM_3,LM_4r,LM_5,LM_6r,LM_7,LM_8r,LM_9,LM_10r,Flanker.Congruent.acc,Flanker.Incongruent.acc,Flanker.Congruent.RT,Flanker.Incongruent.RT,Flanker.Inhibition.Acc,Flanker.Inhibition.RT,WM.C3,WM.C4,WM.C5,WM.C6,WM.C7,WM.C8,WM.C9,WM.Capacity
1030,29,1,2,1,Motorcycle,1,5,3,3,4,3,4,2,4,2,4,2,5,3,4,2,4,3,3,2,4,4,5,2,5,3,4,2,4,3,4,4,4,2,100,96.96969697,461.3164,603.6225253,3.03030303,142.3061253,3,3,4,0.5,2.5,3.5,2.5,2.714285714
1031,19,0,4,1,View,0,5,5,1,1,5,3,5,4,2,3,5,3,5,3,3,3,2,2,4,1,4,1,5,4,2,5,5,3,5,4,3,4,3,100,95.91836735,506.6863,596.9989796,4.081632653,90.31267959,2,1,0,0,0.5,2.5,1,1
1032,21,0,4,1,Dance,1,5,3,3,3,3,3,2,4,4,4,1,4,3,5,1,3,1,5,3,5,3,3,3,4,1,5,1,5,3,5,1,5,1,100,88.7755102,409.1384783,529.5831633,11.2244898,120.444685,3,4,2.5,5,1.5,3.5,3,3.214285714
1033,22,1,2,1,Read,1,5,5,2,3,3,4,3,4,2,3,4,3,4,3,2,4,3,3,4,4,4,3,4,2,4,4,4,3,4,2,2,2,3,100,98,411.9811,465.6028,2,53.6217,3,4,5,5.5,4,8,5,4.928571429
1034,20,0,8,1,Instrument (Music),1,5,5,4,3,5,5,4,5,2,5,5,5,4,5,2,5,4,5,4,5,5,4,3,5,2,5,3,4,4,5,2,1,3,100,96,449.2024,493.8627,4,44.6603,3,4,4,5,7,2,3,4
1035,18,0,4,1,View,0,5,3,1,1,5,5,2,3,1,3,3,3,2,3,4,3,1,2,1,2,4,3,4,2,4,2,5,3,2,3,1,3,3,97.95918367,93.61702128,596.9978571,687.4709574,4.342162397,90.4731003,2,0,1.5,1.5,4.5,4,3.5,2.428571429
1036,21,0,3,1,Read,1,5,2,2,4,3,5,3,3,3,4,3,3,1,4,3,4,3,4,3,4,4,3,3,3,4,4,3,4,3,3,1,3,1,100,97.97979798,471.4379,522.6520202,2.02020202,51.2141202,3,3,2.5,1,3,4,3,2.785714286
1037,18,0,2,1,Read,1,5,2,2,4,4,5,1,5,3,5,4,5,3,5,1,5,3,5,4,5,3,5,4,5,1,5,1,5,1,5,1,3,1,100,95.91836735,401.0228571,560.2383673,4.081632653,159.2155102,3,4,5,6,7,8,9,6
1038,22,0,2,1,View,0,5,5,2,2,4,3,2,3,3,2,3,2,3,2,4,2,4,2,5,2,2,2,4,3,2,4,3,2,3,2,4,2,4,96.96969697,86.95652174,423.8856566,487.8954348,10.01317523,64.00977822,2,3,4,6,7,6,3,4.428571429
1040,19,0,3,1,Travel,1,5,5,2,3,5,2,3,2,2,3,4,2,2,4,4,4,5,5,4,5,5,3,5,4,3,1,2,4,1,4,4,1,5,100,100,809.6815556,923.5338961,0,113.8523405,2,4,4.5,3,1.5,1.5,2,2.642857143
