Subject,Age,Gender,Ethnicity,Exercise,E_category,Dynamic,E_history,E_duration,E_intensity,EI_1,EI_2r,EI_3,EI_4r,EI_5,EI_6r,EI_7,EI_8r,EI_9,EI_10r,EF_1,EF_2r,EF_3,EF_4r,EF_5,EF_6r,EF_7,EF_8r,EF_9,EF_10r,EM_1,EM_2r,EM_3,EM_4r,EM_5,EM_6r,EM_7,EM_8r,EM_9,EM_10r,Flanker.Congruent.acc,Flanker.Incongruent.acc,Flanker.Congruent.RT,Flanker.Incongruent.RT,Flanker.Inhibition.Acc,Flanker.Inhibition.RT,WM.C3,WM.C4,WM.C5,WM.C6,WM.C7,WM.C8,WM.C9,WM.Capacity
1038,22,0,2,1,Walk,0,5,1,2,4,3,2,4,3,4,2,3,4,2,4,3,3,3,2,3,2,4,2,4,4,2,4,3,4,4,4,4,3,4,96.96969697,86.95652174,423.8856566,487.8954348,10.01317523,64.00977822,2,3,4,6,7,6,3,4.428571429
1040,19,0,3,1,Gym,0,5,3,4,2,4,4,4,5,1,3,4,2,4,4,3,5,3,4,2,4,5,2,4,3,3,4,5,4,2,2,3,2,3,100,100,809.6815556,923.5338961,0,113.8523405,2,4,4.5,3,1.5,1.5,2,2.642857143
1041,18,0,2,1,Run,0,5,4,4,1,2,5,2,5,2,2,2,4,2,4,3,3,2,2,4,3,4,2,2,2,3,2,2,3,4,2,1,3,4,100,92.92929293,470.257,599.5737374,7.070707071,129.3167374,2,4,5,6,4.5,2.5,4.5,4.071428571
1043,19,1,4,1,Hockey,1,5,5,4,2,3,3,3,2,3,2,4,4,4,2,4,4,4,5,4,3,4,4,3,4,2,5,2,3,3,3,3,4,4,100,88,444.5887879,507.2042,12,62.61541212,3,4,5,4,6,3,4.5,4.214285714
1045,21,0,4,1,Cycle,0,5,2,3,2,3,4,3,3,2,3,3,3,3,2,3,3,3,2,2,2,4,2,3,3,2,3,4,2,3,1,3,3,3,100,97.93814433,459.2253,503.3779381,2.06185567,44.15263814,3,3.5,3.5,1.5,3.5,3,2,2.857142857
1047,18,0,3,1,Rugby,1,5,5,4,2,1,5,2,4,3,3,3,5,3,5,4,3,3,2,2,3,1,5,2,5,2,4,3,3,4,4,5,5,4,100,97,432.4956,515.8383,3,83.3427,3,4,4,6,2,2.5,1,3.214285714
1048,23,0,2,1,Yoga,0,5,3,3,3,4,3,5,4,2,5,2,2,5,4,2,4,3,4,2,4,5,4,2,2,2,4,3,4,3,1,3,3,2,92.22222222,94.31818182,617.1981111,591.5343182,-2.095959596,-25.66379293,3,4,3,3.5,2.5,4.5,1,3.071428571
1051,26,0,4,1,Kickbox,1,5,2,4,4,1,5,1,5,1,3,1,4,2,4,1,5,2,5,1,4,4,5,4,5,1,5,1,5,5,5,3,5,1,100,97.91666667,597.0914,703.6061458,2.083333333,106.5147458,3,2,2.5,3.5,0,3,0.5,2.071428571
1052,22,0,2,1,Yoga,0,5,2,3,2,3,4,5,5,3,4,3,3,4,4,2,3,1,2,2,3,4,3,2,2,4,4,3,4,2,3,4,3,3,98.98989899,95,419.5973737,504.0541,3.98989899,84.45672626,2,4,5,4,7,5.5,8,5.071428571
1054,19,0,2,1,Weight Train,0,3,3,3,4,4,5,1,3,3,3,2,4,2,3,3,4,3,4,3,4,2,4,2,4,2,4,3,3,3,5,3,3,3,93.82716049,70.73170732,393.1928395,441.2367073,23.09545318,48.04386781,1,4,5,5,7,4.5,6.5,4.714285714
1055,20,1,2,1,Weight Train,0,3,3,4,4,3,4,3,4,2,3,3,3,4,3,2,4,3,3,2,4,4,4,3,2,3,3,3,4,3,3,2,3,2,100,82,425.1987879,499.4675,18,74.26871212,3,4,5,5,1.5,3.5,3,3.571428571
1056,19,1,4,1,Weight Train,0,5,3,3,3,4,4,3,3,2,4,4,3,3,4,3,4,4,4,2,3,4,4,2,3,3,4,5,4,3,2,3,2,4,100,100,467.2609,561.8302041,0,94.56930408,3,1.5,5,5.5,2,5,3,3.571428571
1059,20,1,2,1,Hockey,1,4,2,4,3,2,3,2,3,1,3,4,5,4,3,3,4,4,3,2,4,3,5,4,5,2,5,4,3,3,4,4,5,3,100,98,355.790404,415.8117,2,60.02129596,3,4,4,5.5,3.5,1,1.5,3.214285714
1060,24,0,4,1,Run,0,5,5,3,1,3,3,4,3,1,1,1,4,5,2,1,2,2,1,4,3,3,2,3,5,2,4,2,1,5,2,3,1,5,100,98,434.9977,486.9695,2,51.9718,2,4,4,3,2,2.5,2.5,2.857142857
1064,20,1,6,1,Swim,0,5,5,4,2,2,4,1,4,3,2,2,3,2,4,3,3,2,3,2,2,5,4,2,2,2,3,2,2,3,2,2,2,2,100,98,483.297,571.4424,2,88.1454,3,4,5,6,7,5.5,3.5,4.857142857
1065,18,1,3,1,Weight Train,0,4,5,3,3,3,3,3,4,2,4,4,2,4,3,2,4,3,4,3,3,4,3,3,3,2,2,3,3,3,2,2,2,3,100,100,488.1173,593.0261,0,104.9088,3,4,4,4.5,2.5,3.5,6,3.928571429
1066,20,0,2,1,Jog,0,5,2,4,1,2,4,4,4,2,2,2,3,4,2,3,2,2,2,2,2,2,2,2,2,4,3,4,2,2,3,2,2,3,95.95959596,85.85858586,398.3379798,451.6652525,10.1010101,53.32727273,3,4,5,6,7,7.5,9,5.928571429
1067,20,0,4,1,Walk,0,5,2,2,2,4,2,4,3,2,4,4,3,4,4,2,4,3,4,3,3,3,3,3,3,2,4,2,4,2,4,2,2,3,98.97959184,98,588.1004082,646.5491,0.979591837,58.44869184,3,4,5,5,7,3.5,3.5,4.428571429
1069,23,0,2,1,Bootcamp,0,4,3,4,4,3,4,4,4,2,4,3,2,5,4,2,2,4,2,2,1,2,4,4,2,2,3,2,1,4,1,3,3,2,100,94,407.2567,482.9546,6,75.6979,2,4,4,1.5,2.5,4,5,3.285714286
1070,20,0,3,1,Tennis,1,5,3,4,3,4,3,3,3,3,3,4,5,3,4,4,4,4,4,4,4,4,3,4,3,4,4,5,3,3,2,4,3,4,100,95.87628866,556.0307071,618.4883505,4.12371134,62.45764344,3,4,3,6,3,4,2,3.571428571
1071,22,0,2,1,Yoga,0,5,2,3,4,5,5,5,5,1,4,4,1,5,5,1,5,3,2,2,5,5,3,2,4,3,4,4,3,4,2,1,5,1,98.91304348,82.41758242,388.1876087,436.971978,16.49546106,48.78436933,3,4,3.5,2.5,4,2.5,1.5,3
1072,21,0,3,1,Pilates,0,3,4,4,3,4,3,4,4,2,4,2,3,3,4,4,4,3,3,4,4,5,4,3,3,2,4,4,4,2,2,3,4,2,99,95,430.4852,500.8377,4,70.3525,3,4,5,6,4,2.5,2.5,3.857142857
1073,22,0,2,1,Weight Train,0,5,5,3,4,4,4,2,5,1,3,3,2,4,3,2,4,2,4,4,4,5,3,4,2,3,3,2,3,2,3,2,2,3,100,82.4742268,370.4197895,463.4165979,17.5257732,92.99680846,3,4,5,6,7,8,7,5.714285714
