"Subject","Age","Gender","Ethnicity","Exercise","L_category","Active","L_history","L_duration","L_intensity","LI_1","LI_2","LI_3","LI_4","LI_5","LF_1","LF_2","LF_3","LF_4","LF_5","LM_1","LM_2","LM_3","LM_4","LM_5","Trail1Error","Trail2Error","Trail3Error","Trail4Error","Trail5Error","SumTrailError","Trail1RT","Trail2RT","Trail3RT","Trail4RT","Trail5RT","MeanTrailRT","Baseline_Correct_Go_RT","Calibration_Noncancelled_Go_RT","Calibration_Correct_Go_RT","Test_Correct_Go_RT","Test_Noncancelled_Go_RT","NCER_M","NCER","NCER_P","Go_RT_M","Go_RT","Go_RT_P","SSD_M","SSD","SSD_P","SSRT_M","SSRT","SSRT_P","SSRT_Mean"
"1214",20,2,2,1,"View",0,5,4,1,1,4,1,2,2,3,2,2,1,1,4,4,4,4,4,3,3,5,1,4,16,51.4857,46.6033,44.0356,44.3666,44.0196,46.10216,293.969302040816,389.981983333333,513.12758125,466.090535185185,361.295592307692,0.25,0.416666666666667,0.416666666666667,348.5658,398.2951,398.2951,130,170,210,218.5658,228.2951,188.2951,211.718666666667
"1215",18,2,3,1,"Instrument (Music)",1,5,2,2,4,4,4,4,3,3,4,4,4,5,5,3,5,5,3,0,14,5,0,4,23,42.6239,73.1735,48.1092,52.6444,47.8927,52.88874,345.254828,410.8037125,505.9201,436.801073148148,381.77664,0.333333333333333,0.25,0.666666666666667,365.2254,348.6934,464.7869,130,170,210,235.2254,178.6934,254.7869,222.9019
"1216",22,1,8,1,"Game",1,5,5,3,3,4,2,1,5,4,4,3,3,4,5,4,3,4,5,1,0,1,2,1,5,56.5813,58.5942,59.0724,58.6853,50.3081,56.64826,278.143508,272.18467,311.85571875,306.105792592593,282.1291375,0.416666666666667,0.0833333333333333,0.833333333333333,298.69,248.9944,331.9841,0,10,50,298.69,NA,281.9841,290.33705
"1217",21,2,8,0,"View",0,3,5,2,1,3,3,1,2,4,3,3,2,2,3,3,5,2,2,2,4,3,3,1,13,56.6401,64.1752,66.8113,76.8434,61.3632,65.16664,347.17482,378.019877777778,381.702520833333,394.429623364486,334.462642307692,0.416666666666667,0.75,1,331.8845,381.6622,2274.1775,50,90,130,281.8845,291.6622,NA,286.77335
"1218",30,2,2,1,"Read",1,5,3,3,5,5,5,5,5,5,5,5,5,4,3,5,5,3,5,3,1,0,2,2,8,54.473,42.874,53.2659,58.939,46.3497,51.18032,328.917214,402.4467375,550.818695833333,547.23922962963,458.07268,0.166666666666667,0.0833333333333333,0.583333333333333,414.9662,365.0731,580.8979,210,250,290,204.9662,NA,290.8979,247.93205
"1219",19,2,3,1,"Draw",1,5,3,2,4,4,5,3,3,4,4,5,4,4,4,4,5,4,5,4,4,4,5,2,19,63.6187,56.1659,74.4619,79.598,62.6997,67.30884,267.7476125,298.771366666667,377.617945833333,310.152055238095,292.284182608696,0.5,0.666666666666667,0.75,282.2817,315.4528,331.9647,0,10,50,282.2817,305.4528,281.9647,289.899733333333
"1220",19,2,3,1,"Listen (Music)",0,5,3,2,2,3,3,3,2,3,3,2,2,2,4,3,4,5,4,4,6,4,3,3,20,43.7883,52.5009,64.2026,55.0396,47.7475,52.65578,333.595326,379.63805,405.595010416667,382.196071296296,356.431952380952,0.333333333333333,0.75,0.666666666666667,331.962,398.4042,381.784,90,130,170,241.962,268.4042,211.784,240.716733333333
"1221",19,2,2,0,"Game",1,3,2,2,4,3,2,3,3,3,3,3,2,3,2,2,4,3,3,2,1,1,2,0,6,62.9254,49.4249,64.7404,69.1489,55.4359,60.3351,293.480352,277.415285714286,296.966573913043,292.773109259259,279.808657142857,0.333333333333333,0.333333333333333,0.5,265.5599,265.5599,282.1769,0,0,40,265.5599,265.5599,242.1769,257.765566666667
"1222",18,1,2,1,"Shop",1,5,3,1,1,2,5,4,1,1,2,3,1,1,3,1,4,3,1,18,22,5,2,9,56,55.9717,61.7835,37.9272,43.9117,39.5798,47.83478,300.72385,338.572,381.399510416667,358.054375,341.6155,0.5,0.5,1,348.5666,348.5666,531.1033,90,130,170,258.5666,218.5666,NA,238.5666
"1223",22,2,2,1,"Listen (Music)",0,5,3,4,1,3,4,2,3,3,2,4,4,1,3,2,3,2,2,2,0,2,1,1,6,60.2278,61.3524,50.3443,62.8813,58.7801,58.71718,258.793414285714,294.665125,379.345889583333,386.092396296296,319.291111764706,0.333333333333333,0.5,0.583333333333333,298.8724,331.9496,365.1659,50,90,130,248.8724,241.9496,235.1659,241.995966666667
